Movie Name,Movie Detail Link,Directors,Casts
All Is Lost,https://www.metacritic.com/movie/all-is-lost,J.C. Chandor,"Robert Redford,Robert Redford"
Hereditary,https://www.metacritic.com/movie/hereditary,Ari Aster,"A.J. Moss,Ann Dowd,Austin R. Grant,Brock McKinney,Chad Wright,Gerry Garcia,Heidi Méndez,Jarrod Phillips,Jason Miyagi,John Forker,Lorenzo Silva,Mallory Bechtel,Marilyn Miller,Moises L. Tovar,Rachelle Hardy,Shane Morrisun,Zachary Arthur,Alex Wolff,Ann Dowd,Austin R. Grant,BriAnn Rachele,Christy Summerhays,Gabriel Byrne,Gabriel Monroe Eckert,Harrison Nell,Jake Brown,Jarrod Phillips,John Forker,Mallory Bechtel,Marilyn Miller,Mark Blockovich,Milly Shapiro,Morgan Lund,Rachelle Hardy,Toni Collette,Zachary Arthur"
Listen to Me Marlon,https://www.metacritic.com/movie/listen-to-me-marlon,Stevan Riley,"Marlon Brando,Marlon Brando"
Gideon's Army,https://www.metacritic.com/movie/gideons-army,Dawn Porter,
Serpico (re-release),https://www.metacritic.com/movie/serpico,Sidney Lumet,"Albert Henderson,Allan Rich,Barbara Eda-Young,Biff McGuire,Cornelia Sharpe,Damien Leake,Edward Grover,Hank Garrett,Jack Kehoe,John Medici,Joseph Bova,Norman Ornellas,Tony Roberts,Al Pacino,John Randolph"
Maria Full of Grace,https://www.metacritic.com/movie/maria-full-of-grace,Joshua Marston,"Charles Albert Patiño,Evangelina Morales,Fabricio Suarez,Jaime Osorio Gómez,Johanna Andrea Mora,John Álex Toro,Juana Guarderas,Mateo Suarez,Rodrigo Sánchez Borhorquez,Victor Macias,Virgina Ariza,Wilson Guerrero,Yenny Paola Vega,Catalina Sandino Moreno,Guilied Lopez"
Fateless,https://www.metacritic.com/movie/fateless,Lajos Koltai,"András M. Kecskés,Áron Dimény,Bálint Péntek,Béla Dóra,Dani Szabó,Endre Harkányi,Gábor Nyiri,Jenö Nagy,Marcell Nagy,Márton Brezina,Péter Fancsikai,Péter Vida,Tibor Mertz,Zoltán Bukovszki,Zsolt Dér"
Happy as Lazzaro,https://www.metacritic.com/movie/happy-as-lazzaro,Alice Rohrwacher,"Alessandro Genovesi,Annunziata Capretto,Antonio Salines,Carlo Massimino,Daria Pascal Attolini,Davide Denci,Ettore Scarpa,Gala Othero Winter,Giulia Caccavello,Leonardo Nigro,Luca Chikovani,Adriano Tardiolo,Agnese Graziani,Alba Rohrwacher,Alessandro Genovesi,Antonio Salines,Carlo Massimino,Daria Pascal Attolini,David Bennent,Davide Denci,Elisabetta Rocchetti,Luca Chikovani,Maddalena Baiocco,Natalino Balasso,Nicoletta Braschi,Sergi López,Tommaso Ragno"
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,https://www.metacritic.com/movie/the-fog-of-war-eleven-lessons-from-the-life-of-robert-s-mcnamara,Errol Morris,"Barry Goldwater,Curtis LeMay,Errol Morris,Franklin Delano Roosevelt,Harry Reasoner,Lyndon Johnson,Nikita Khrushchev,Woodrow Wilson,Fidel Castro,John F. Kennedy,Richard Nixon,Robert McNamara"
Uncle Boonmee Who Can Recall His Past Lives,https://www.metacritic.com/movie/uncle-boonmee-who-can-recall-his-past-lives,Apichatpong Weerasethakul,"Jenjira Pongpas,Matthieu Ly,Sakda Kaewbuadee,Thanapat Saisaymar,Vien Pimdee"
Brokeback Mountain,https://www.metacritic.com/movie/brokeback-mountain,Ang Lee,"Anna Faris,Anne Hathaway,David Harbour,David Trimble,Kate Mara,Lachlan Mackintosh,Larry Reese,Linda Cardellini,Marty Antonini,Randy Quaid,Valerie Planche,Víctor Reyes,Heath Ledger,Jake Gyllenhaal,Michelle Williams"
Cemetery of Splendor,https://www.metacritic.com/movie/cemetery-of-splendor,Apichatpong Weerasethakul,"Apinya Unphanlam,Banlop Lomnoi,Bhattaratorn Senkraigul,Boonyarak Bodlakorn,Jarinpattra Rueangram,Jenjira Jansuda,Jenjira Pongpas,Kammanit Sansuklerd,Petcharat Chaiburi,Pongsadhorn Lertsukon,Richard Abramson,Sakda Kaewbuadee,Sasipim Piwansenee,Sujittraporn Wongsrikeaw,Tawatchai Buawat,Wacharee Nagvichien"
The Kid with a Bike,https://www.metacritic.com/movie/the-kid-with-a-bike,"Jean-Pierre Dardenne,Luc Dardenne","Batiste Sornin,Carl Jadot,Cécile De France,Claudy Delfosse,Egon Di Mateo,Fabrizio Rongione,Frédéric Dussenne,Hicham Slaoui,Jean-Michel Balthazar,Jérémie Renier,Myriem Akeddiou,Olivier Gourmet,Samuel De Rijk,Sandra Raco,Thomas Doret,Cécile De France,Egon Di Mateo,Fabrizio Rongione,Jérémie Renier,Olivier Gourmet,Thomas Doret"
Mutiny on the Bounty,https://www.metacritic.com/movie/mutiny-on-the-bounty,Frank Lloyd,"Byron Russell,David Torrence,Mamo Clark,Movita,Percy Waram,Charles Laughton,Clark Gable,Donald Crisp,Dudley Digges,Eddie Quillan,Franchot Tone,Francis Lister,Henry Stephenson,Herbert Mundin,Spring Byington"
Spider-Man: Into the Spider-Verse,https://www.metacritic.com/movie/spider-man-into-the-spider-verse,"Bob Persichetti,Peter Ramsey,Rodney Rothman","Alycia Cooper,Brian Tyree Henry,Chris Pine,Jessica Mikayla Adams,John Mulaney,Kathryn Hahn,Kimiko Glenn,Liev Schreiber,Lily Tomlin,Mahershala Ali,Melanie Haynes,Muneeb Rehman,Natalie Morales,Natalie Morales,Nick Jaine,Nicolas Cage,Shameik Moore,Brian Tyree Henry,Chris Pine,Hailee Steinfeld,Jake M. Johnson,John Mulaney,Kathryn Hahn,Kimiko Glenn,Lauren Vélez,Liev Schreiber,Lily Tomlin,Mahershala Ali,Melanie Haynes,Muneeb Rehman,Nick Jaine,Nicolas Cage,Oscar Isaac,Shameik Moore,Stan Lee,Zoë Kravitz"
The Wicker Man,https://www.metacritic.com/movie/the-wicker-man-1974,Robin Hardy,"Barbara Rafferty,Ian Campbell,Leslie Blackater,Peter Brewis,Roy Boyd,Aubrey Morris,Britt Ekland,Christopher Lee,Diane Cilento,Edward Woodward,Ingrid Pitt,Irene Sunters,Lindsay Kemp,Russell Waters,Walter Carr"
